2020-06-08 17:31:28.618 [restartedMain] INFO  com.example.MembersManagementApplication - Starting MembersManagementApplication on DESKTOP-USL6JU2 with PID 5152 (D:\Tencent\idea\MembersManagement\target\classes started by WangYiMu in D:\Tencent\idea\MembersManagement)
2020-06-08 17:31:28.634 [restartedMain] INFO  com.example.MembersManagementApplication - No active profile set, falling back to default profiles: default
2020-06-08 17:31:28.727 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-06-08 17:31:28.727 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-06-08 17:31:30.111 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-08 17:31:30.127 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-08 17:31:30.127 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-08 17:31:30.127 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-06-08 17:31:30.236 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-06-08 17:31:30.236 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1509 ms
2020-06-08 17:31:30.314 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-06-08 17:31:30.330 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-06-08 17:31:56.333 [restartedMain] INFO  com.example.MembersManagementApplication - Starting MembersManagementApplication on DESKTOP-USL6JU2 with PID 14020 (D:\Tencent\idea\MembersManagement\target\classes started by WangYiMu in D:\Tencent\idea\MembersManagement)
2020-06-08 17:31:56.354 [restartedMain] INFO  com.example.MembersManagementApplication - No active profile set, falling back to default profiles: default
2020-06-08 17:31:56.480 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-06-08 17:31:56.481 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-06-08 17:31:57.853 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-08 17:31:57.860 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
